い形容詞,〜い + N形,〜いです形,〜くて形,〜かった形,〜くない形,〜くなかった形,〜ければ形,〜い。形
赤い・赤いです,あかい,あかいです,あかくて,あかかった,あかくない,あかくなかった,あかければ,あかいあかい
美味しい・美味しいです,おいしいおいしい,おいしいです,おいしくておいしくて,おいしかったおいしかった,おいしくないおいしくないおいしくない,おいしくなかったおいしくなかったおいしくなかった,おいしければおいしければ,おいしいおいしい
冷たい・冷たいです,つめたい,つめたいです,つめたくて,つめたかった,つめたくない,つめたくなかった,つめたければ,つめたいつめたい
易しい・易しいです,やさしい,やさしいです,やさしくて,やさしかった,やさしくない,やさしくなかった,やさしければ,やさしいやさしい
難しい・難しいです,むずかしいむずかしい,むずかしいです,むずかしくてむずかしくて,むずかしかったむずかしかった,むずかしくないむずかしくないむずかしくない,むずかしくなかったむずかしくなかったむずかしくなかった,むずかしければむずかしければ,むずかしいむずかしい
いい・いいです,いい,いいです,よくて,よかった,よくない,よくなかった,よければ,いい
青い・青いです,あおい,あおいです,あおくてあおくて,あおかったあおかった,あおくないあおくない,あおくなかったあおくなかった,あおければあおければ,あおい
暑い・暑いです,あつい,あついです,あつくてあつくて,あつかったあつかった,あつくないあつくない,あつくなかったあつくなかった,あつければあつければ,あつい
黒い・黒いです,くろい,くろいです,くろくてくろくて,くろかったくろかった,くろくないくろくない,くろくなかったくろくなかった,くろければくろければ,くろい
寒い・寒いです,さむい,さむいです,さむくてさむくて,さむかったさむかった,さむくないさむくない,さむくなかったさむくなかった,さむければさむければ,さむい
白い・白いです,しろい,しろいです,しろくてしろくて,しろかったしろかった,しろくないしろくない,しろくなかったしろくなかった,しろければしろければ,しろい
高い・高いです,たかい,たかいです,たかくてたかくて,たかかったたかかった,たかくないたかくない,たかくなかったたかくなかった,たかければたかければ,たかい
低い・低いです,ひくい,ひくいです,ひくくてひくくて,ひくかったひくかった,ひくくないひくくない,ひくくなかったひくくなかった,ひくければひくければ,ひくい
古い・古いです,ふるい,ふるいです,ふるくてふるくて,ふるかったふるかった,ふるくないふるくない,ふるくなかったふるくなかった,ふるければふるければ,ふるい
安い・安いです,やすい,やすいです,やすくてやすくて,やすかったやすかった,やすくないやすくない,やすくなかったやすくなかった,やすければやすければ,やすい
悪い・悪いです,わるい,わるいです,わるくてわるくて,わるかったわるかった,わるくないわるくない,わるくなかったわるくなかった,わるければわるければ,わるい
大きい・大きいです,おおきい,おおきいです,おおきくておおきくて,おおきかったおおきかった,おおきくないおおきくない,おおきくなかったおおきくなかった,おおきければおおきければ,おおきい
楽しい・楽しいです,たのしい,たのしいです,たのしくてたのしくて,たのしかったたのしかった,たのしくないたのしくない,たのしくなかったたのしくなかった,たのしければたのしければ,たのしい
小さい・小さいです,ちいさい,ちいさいです,ちいさくてちいさくて,ちいさかったちいさかった,ちいさくないちいさくない,ちいさくなかったちいさくなかった,ちいさければちいさければ,ちいさい
新しい・新しいです,あたらしい,あたらしいです,あたらしくてあたらしくて,あたらしかったあたらしかった,あたらしくないあたらしくない,あたらしくなかったあたらしくなかった,あたらしければあたらしければ,あたらしい