category,col1,col2,col3,col4,col5,col6,col7,col8,col9
い形容詞,,,,,,,,
全体を一括再生,,,,,,,,
全体を一括再生,×,赤い・赤いです,あかい,あかいです,あかくて,あかかった,あかくない,あかくなかった,あかければ
全体を一括再生,×,美味しい・美味しいです,おいしいおいしい,おいしいです,おいしくておいしくて,おいしかったおいしかった,おいしくないおいしくないおいしくない,おいしくなかったおいしくなかったおいしくなかった,おいしければおいしければ
全体を一括再生,×,冷たい・冷たいです,つめたい,つめたいです,つめたくて,つめたかった,つめたくない,つめたくなかった,つめたければ
全体を一括再生,×,易しい・易しいです,やさしい,やさしいです,やさしくて,やさしかった,やさしくない,やさしくなかった,やさしければ
全体を一括再生,×,難しい・難しいです,むずかしいむずかしい,むずかしいです,むずかしくてむずかしくて,むずかしかったむずかしかった,むずかしくないむずかしくないむずかしくない,むずかしくなかったむずかしくなかったむずかしくなかった,むずかしければむずかしければ
全体を一括再生,×,いい・いいです,いい,いいです,よくて,よかった,よくない,よくなかった,よければ
全体を一括再生,×,青い・青いです,あおい,あおいです,あおくてあおくて,あおかったあおかった,あおくないあおくない,あおくなかったあおくなかった,あおければあおければ
全体を一括再生,×,暑い・暑いです,あつい,あついです,あつくてあつくて,あつかったあつかった,あつくないあつくない,あつくなかったあつくなかった,あつければあつければ
全体を一括再生,×,黒い・黒いです,くろい,くろいです,くろくてくろくて,くろかったくろかった,くろくないくろくない,くろくなかったくろくなかった,くろければくろければ
全体を一括再生,×,寒い・寒いです,さむい,さむいです,さむくてさむくて,さむかったさむかった,さむくないさむくない,さむくなかったさむくなかった,さむければさむければ
全体を一括再生,×,白い・白いです,しろい,しろいです,しろくてしろくて,しろかったしろかった,しろくないしろくない,しろくなかったしろくなかった,しろければしろければ
全体を一括再生,×,高い・高いです,たかい,たかいです,たかくてたかくて,たかかったたかかった,たかくないたかくない,たかくなかったたかくなかった,たかければたかければ
全体を一括再生,×,低い・低いです,ひくい,ひくいです,ひくくてひくくて,ひくかったひくかった,ひくくないひくくない,ひくくなかったひくくなかった,ひくければひくければ
全体を一括再生,×,古い・古いです,ふるい,ふるいです,ふるくてふるくて,ふるかったふるかった,ふるくないふるくない,ふるくなかったふるくなかった,ふるければふるければ
全体を一括再生,×,安い・安いです,やすい,やすいです,やすくてやすくて,やすかったやすかった,やすくないやすくない,やすくなかったやすくなかった,やすければやすければ
全体を一括再生,×,悪い・悪いです,わるい,わるいです,わるくてわるくて,わるかったわるかった,わるくないわるくない,わるくなかったわるくなかった,わるければわるければ
全体を一括再生,×,大きい・大きいです,おおきい,おおきいです,おおきくておおきくて,おおきかったおおきかった,おおきくないおおきくない,おおきくなかったおおきくなかった,おおきければおおきければ
全体を一括再生,×,楽しい・楽しいです,たのしい,たのしいです,たのしくてたのしくて,たのしかったたのしかった,たのしくないたのしくない,たのしくなかったたのしくなかった,たのしければたのしければ
全体を一括再生,×,小さい・小さいです,ちいさい,ちいさいです,ちいさくてちいさくて,ちいさかったちいさかった,ちいさくないちいさくない,ちいさくなかったちいさくなかった,ちいさければちいさければ
全体を一括再生,×,新しい・新しいです,あたらしい,あたらしいです,あたらしくてあたらしくて,あたらしかったあたらしかった,あたらしくないあたらしくない,あたらしくなかったあたらしくなかった,あたらしければあたらしければ
い形容詞,,,,,,,,
全体を一括再生,,,,,,,,
全体を一括再生,×,忙しい・忙しいです,いそがしい,いそがしいです,いそがしくていそがしくて,いそがしかったいそがしかった,いそがしくないいそがしくない,いそがしくなかったいそがしくなかった,いそがしければいそがしければ
全体を一括再生,×,面白い・面白いです,おもしろい,おもしろいです,おもしろくておもしろくて,おもしろかったおもしろかった,おもしろくないおもしろくない,おもしろくなかったおもしろくなかった,おもしろければおもしろければ
全体を一括再生,×,な形容詞,〜な + N形,〜です形,〜で形,〜だった形,〜じゃない形,〜じゃなかった形,〜ならば形
全体を一括再生,×,暇[な]・暇です,ひまな,ひまです,ひまで,ひまだった,ひまじゃない,ひまじゃなかった,ひまならば
全体を一括再生,×,素敵[な]・素敵です,すてきな,すてきです,すてきで,すてきだった,すてきじゃない,すてきじゃなかった,すてきならば
全体を一括再生,×,有名[な]・有名です,ゆうめいな,ゆうめいです,ゆうめいで,ゆうめいだった,ゆうめいじゃない,ゆうめいじゃなかった,ゆうめいならば
全体を一括再生,×,きれい[な]・きれいです,きれいな,きれいです,きれいで,きれいだった,きれいじゃない,きれいじゃなかった,きれいならば
全体を一括再生,×,元気[な]・元気です,げんきな,げんきです,げんきで,げんきだった,げんきじゃない,げんきじゃなかった,げんきならば
全体を一括再生,×,静か[な]・静かです,しずかな,しずかです,しずかで,しずかだった,しずかじゃない,しずかじゃなかった,しずかならば
全体を一括再生,×,便利[な]・便利です,べんりな,べんりです,べんりで,べんりだった,べんりじゃない,べんりじゃなかった,べんりならば
全体を一括再生,×,親切[な]・親切です,しんせつな,しんせつです,しんせつで,しんせつだった,しんせつじゃない,しんせつじゃなかった,しんせつならば
全体を一括再生,×,ハンサム[な]・ハンサムです,はんさむな,はんさむです,はんさむで,はんさむだった,はんさむじゃない,はんさむじゃなかった,はんさむならば
全体を一括再生,×,賑やか[な]・賑やかです,にぎやかな,にぎやかです,にぎやかで,にぎやかだった,にぎやかじゃない,にぎやかじゃなかった,にぎやかならば
全体を一括再生,×,名詞,辞書形,,,,,,
全体を一括再生,×,桜,さくら,,,,,,
全体を一括再生,×,仕事,しごと,,,,,,
全体を一括再生,×,生活,せいかつ,,,,,,
全体を一括再生,×,寮,りょう,,,,,,
全体を一括再生,×,レストラン,れすとらん,,,,,,
全体を一括再生,×,お仕事,おしごと,,,,,,
全体を一括再生,×,食べ物,たべものたべもの,,,,,,
全体を一括再生,×,町,まち,,,,,,
名詞,,,,,,,,
全体を一括再生,,,,,,,,
全体を一括再生,×,山,やま,,,,,,
全体を一括再生,×,所,ところ,,,,,,
